2026-06-11 23:48:23,621 | DEBUG    | Query='how to reach from civil department to mechanical department' Intent=find_location Conf=0.99
2026-06-11 23:48:23,932 | DEBUG    | Matched='Research and Development Cell' Score=0.17
2026-06-11 23:49:53,655 | INFO     | Loading intent classifier...
2026-06-11 23:49:54,612 | INFO     | Loading retrieval model...
2026-06-11 23:49:56,323 | INFO     | All models loaded.
2026-06-11 23:50:28,275 | INFO     | Loading intent classifier...
2026-06-11 23:50:29,247 | INFO     | Loading retrieval model...
2026-06-11 23:50:30,928 | INFO     | All models loaded.
2026-06-11 23:50:30,991 | DEBUG    | Query='how to reach from civil department to mechanical department' Intent=find_location Conf=0.99
2026-06-11 23:50:31,696 | DEBUG    | Matched='Research and Development Cell' Score=0.17
2026-06-11 23:50:31,782 | DEBUG    | Query='directions from civil to mechanical' Intent=find_location Conf=0.99
2026-06-11 23:50:31,804 | DEBUG    | Matched='Mechanical Engineering Department' Score=0.45
2026-06-11 23:50:32,595 | DEBUG    | Keyword route='mechanical faculty room' -> ME Faculty Room
2026-06-11 23:50:32,595 | DEBUG    | Query='where is mechanical faculty room' Intent=faculty_query Conf=0.98
2026-06-11 23:50:32,661 | DEBUG    | Matched='ME Faculty Room' Score=0.95
2026-06-11 23:51:36,973 | INFO     | Loading intent classifier...
2026-06-11 23:51:37,778 | INFO     | Loading retrieval model...
2026-06-11 23:51:39,630 | INFO     | All models loaded.
2026-06-11 23:51:39,788 | DEBUG    | Query='how to reach from civil department to mechanical department' Intent=find_location Conf=0.99
2026-06-11 23:51:40,007 | DEBUG    | Matched='Research and Development Cell' Score=0.17
2026-06-11 23:51:40,149 | DEBUG    | Query='directions from mechanical to library' Intent=find_location Conf=0.99
2026-06-11 23:51:40,182 | DEBUG    | Matched='Central Library' Score=0.49
2026-06-11 23:51:40,922 | DEBUG    | Query='how to get from cafeteria to gym' Intent=find_location Conf=0.99
2026-06-11 23:51:40,946 | DEBUG    | Matched='Main Cafeteria' Score=0.28
2026-06-11 23:51:46,188 | DEBUG    | Query='directions from library to cafeteria' Intent=find_location Conf=0.99
2026-06-11 23:51:46,261 | DEBUG    | Matched='Outdoor Canteen Terrace' Score=0.56
2026-06-11 23:52:00,979 | INFO     | Loading intent classifier...
2026-06-11 23:52:02,214 | INFO     | Loading retrieval model...
2026-06-11 23:52:03,900 | INFO     | All models loaded.
2026-06-11 23:52:04,021 | DEBUG    | Query='how to reach from civil department to mechanical department' Intent=find_location Conf=0.99
2026-06-11 23:52:05,207 | DEBUG    | Matched='Research and Development Cell' Score=0.17
2026-06-11 23:52:05,499 | DEBUG    | Query='directions from mechanical to library' Intent=find_location Conf=0.99
2026-06-11 23:52:05,583 | DEBUG    | Matched='Central Library' Score=0.49
2026-06-11 23:52:06,778 | DEBUG    | Query='how to get from cafeteria to gym' Intent=find_location Conf=0.99
2026-06-11 23:52:06,828 | DEBUG    | Matched='Main Cafeteria' Score=0.28
2026-06-11 23:53:27,159 | INFO     | Loading intent classifier...
2026-06-11 23:53:28,667 | INFO     | Loading retrieval model...
2026-06-11 23:53:30,647 | INFO     | All models loaded.
2026-06-11 23:53:30,831 | DEBUG    | Query='how to reach from civil department to mechanical department' Intent=find_location Conf=0.99
